col0 col1 col2 col3 col4 col5 col6 col7 col8 col9 col10 col11 col12 col13 col14 col15 col16 col17 col18 col19 col20 col21
0.253555639549117 0.09278754144906998 -0.032281156288997595 -0.09032003290372548 -0.1108330488204956 -0.12592893067049266 -0.13569470877773487 -0.1482177441267842 -0.1566390097141266 -0.17083690263607237 -0.23345151727560876 -0.26641544699668884 -0.29103837526521903 -0.3103230828063269 -0.3101194500923157 -0.31215828352354413 -0.2980920640925577 -0.30046766871614355 -0.306980699300766 -0.30827506996208975 -0.3176083598264687 -0.3363085687160492
-0.026061692703602337 -0.2831906865787154 -0.3537966421420106 -0.32762433389087486 -0.24418697058218639 -0.1911090850834485 -0.170293723317139 -0.17427639232351738 -0.21583855015954673 -0.2959705560331787 -0.37076036972754556 -0.4107798760306215 -0.46794847924210303 -0.5340571937306153 -0.6817978083094425 -0.7485323386496495 -0.8471557108643584 -0.8471923794545022 -99.0 -99.0 -99.0 -99.0
0.026053565133372467 -0.22810003086475 -0.37437697474524806 -0.30712027590205526 -0.25407072068043907 -0.17239491731170378 -0.1120872538308603 -0.08174622460971245 -0.08368867920550631 -0.12206441898466448 -0.15542663231929724 -0.1929861592133195 -0.24433242423066356 -0.2690202920902497 -0.2888489869191946 -0.3198562400871753 -0.35329199077596574 -0.3778790418528712 -0.40938380340828734 -0.4371848512149791 -0.44968210912757406 -0.4786928623334835
-0.06133459148932208 -0.22231365445564538 -0.19200299437374296 -0.16462041451346915 -0.19820103953314197 -0.21895359793998653 -0.2478965842008106 -0.2707601097050816 -0.32600940044622073 -0.38231349307877005 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
0.09259303659200668 -0.12606619513789238 -0.28336459398269653 -0.2988802194595337 -0.3170998692512512 -0.3220555301709293 -0.3284463882446289 -0.3332875370979309 -0.3100173900187009 -0.29952314496040344 -0.2954466938972473 -0.2994520344078678 -0.3091541826725006 -0.31765201687812805 -0.3480292558670044 -0.34486394210779253 -0.34315013885498047 -0.36963286995887756 -0.40067903143160527 -0.4375818073749542 -0.4351717233657837 -0.4999922970752786
-0.05741672842538346 -0.1976613431048937 -0.16112237958503464 -0.17370288018702512 -0.14542201163734464 -0.15817107017683524 -0.21356391707078023 -0.29227766615904627 -0.3509514497706088 -0.35051524077331264 -0.35963893148773834 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
-0.11484250645104893 -0.2551065763109108 -0.21805410766531758 -0.12763643063439187 -0.12485287409892888 -0.12671363578626235 -0.15084544002839534 -0.1883852464084837 -0.2337227740077348 -0.2640327005741383 -0.2894846833581643 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
-0.025890839596014483 -0.22723459023275538 -0.26686769846590763 -0.19849957869801216 -0.19949084284744353 -0.19060223665100337 -0.20678040237722678 -0.207650607842654 -0.2110865976708784 -0.23011621941814867 -0.24561307005687114 -0.24966835948065175 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
0.03313624827893422 -0.18432688738308137 -0.2998890917617347 -0.27854132410156857 -0.26679664397429925 -0.21785037213577504 -0.16349208004411886 -0.15687539019490504 -0.17485166418784157 -0.2192306948777756 -0.23127036495944328 -0.2255138200158775 -0.22531974153199144 -0.23487541153097485 -0.24941992671725227 -0.2766506413623956 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
-0.1410131187484676 -0.4229746104097837 -0.3478088612504006 -0.23883783185355756 -0.19221611381348597 -0.13457007017260855 -0.14780291414886707 -0.18407038958357316 -0.1880831099425034 -0.19096829733624557 -0.21379590239992194 -0.22529536148946477 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
